Current_Frame_Number,Previous_Frame_Number,Matching_Score
10,0,0
11,1,0
12,2,0
13,3,2.80374
14,4,0.934579
15,5,0.909091
16,6,1.1583
17,7,0.358423
18,8,1.94175
19,9,4.5
20,10,4.75
21,11,2.52525
22,12,3.69458
23,13,2.98507
24,14,2.22772
25,15,2.22772
26,16,4.20792
27,17,5.76441
28,18,5.73566
29,19,2.73632
30,20,1.49254
31,21,2.46914
32,22,1.73697
33,23,2.93399
34,24,2.72277
35,25,2.72277
36,26,2.20588
37,27,4.4335
38,28,1.7284
39,29,3.1941
40,30,2.9484
41,31,2.98507
42,32,3.51759
43,33,4.914
44,34,3.71287
45,35,4.45545
46,36,5.63725
47,37,10.5392
48,38,6.14251
49,39,4.6798
50,40,6.65025
51,41,2.9703
52,42,4.40098
53,43,1.73267
54,44,2.48139
55,45,4.21836
56,46,4.44444
57,47,2.46914
58,48,5.94059
59,49,3.4398
60,50,3.4398
61,51,2.22222
62,52,3.45679
63,53,2.9484
64,54,4.2394
65,55,2.99252
66,56,3.47395
67,57,5.51378
68,58,10.4738
69,59,5.73566
70,60,8.25
71,61,10.199
72,62,7.69231
73,63,5.73566
74,64,6.28141
75,65,6.28141
76,66,7.46269
77,67,7.01754
78,68,0
79,69,0
80,70,0
81,71,0
82,72,0.25
83,73,0
84,74,0
85,75,0
86,76,0
87,77,0
88,78,16.7082
89,79,19.25
90,80,20
91,81,23.4414
92,82,20.3474
93,83,20.9476
94,84,13.4663
95,85,14.7132
96,86,15.5779
97,87,17.8392
98,88,15.3266
99,89,19.3548
100,90,19.1542
101,91,18.0247
102,92,17.6179
103,93,19.403
104,94,16.3366
105,95,17.3267
106,96,17.9803
107,97,19.6517
108,98,19.4103
109,99,20.5446
110,100,20.3474
111,101,17.6904
112,102,21.2714
113,103,18.9655
114,104,17.8049
115,105,17.8049
116,106,17.4447
117,107,16.5049
118,108,18.2927
119,109,15.2334
120,110,14.7059
121,111,15.6479
122,112,14.951
123,113,12.8954
124,114,9.53545
